pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_id	pathway_name
R-HSA-927802 :: Nonsense-Mediated Decay (NMD)	0.412556053811659	0.488331655532168	0.096240602328129	-0.219205827677849	-1.0256910915447	113	SMG1;RPL13;RPS8;GSPT2;CASC3;RPS6;RPS27L;RPS5;RPLP1;RPL15;RPL7;RPS3A;RPS4X;RPL3;RPS15;RPL8;RPL31;RPS20;RPS11;RPL9;RPL5;DCP1A;RPS18;RPL37A;RPL10;RPS14;RPS27;RPL37;RPS25;RPL34;RPL30;RPL10A;RPS23;RPL4;RPL18	R-HSA-927802	Nonsense-Mediated Decay (NMD)
R-HSA-975957 :: Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	0.412556053811659	0.488331655532168	0.096240602328129	-0.219205827677849	-1.0256910915447	113	SMG1;RPL13;RPS8;GSPT2;CASC3;RPS6;RPS27L;RPS5;RPLP1;RPL15;RPL7;RPS3A;RPS4X;RPL3;RPS15;RPL8;RPL31;RPS20;RPS11;RPL9;RPL5;DCP1A;RPS18;RPL37A;RPL10;RPS14;RPS27;RPL37;RPS25;RPL34;RPL30;RPL10A;RPS23;RPL4;RPL18	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
R-HSA-9018677 :: Biosynthesis of DHA-derived SPMs	0.418947368421053	0.495437295741671	0.0916795246008379	-0.360592750509948	-1.03975114440006	15	EPHX2;CYP3A4;CYP1A1;CYP1A2;CYP2D6;ALOX5;HPGD;ALOX12;CYP2C9	R-HSA-9018677	Biosynthesis of DHA-derived SPMs
R-HSA-1799339 :: SRP-dependent cotranslational protein targeting to membrane	0.42397137745975	0.500914331146889	0.0819778796501272	0.22015632860324	1.00992316320428	109	DDOST;SRPRB;SEC61G;RPL26L1;SEC61B;SEC11C;RPN2;SEC61A1;RPN1;SSR4;SPCS3;SRP54;RPL17;RPL28;UBA52;SPCS1;SRP72;RPL36AL;RPL22L1;SSR3;RPL39L;SRP68;SPCS2;SSR1	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
R-HSA-2122947 :: NOTCH1 Intracellular Domain Regulates Transcription	0.425438596491228	0.502182839151533	0.0931454575337804	-0.259840753492089	-1.02170021967041	48	MAML2;TLE2;NCOR2;NBEA;CREBBP;FBXW7;TLE1;TBL1XR1;NCOR1;HDAC11;TLE4;HDAC5;RBPJ	R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription
R-HSA-111885 :: Opioid Signalling	0.430451127819549	0.507629980681834	0.0838361057159929	0.240934045598511	1.0157651613166	74	GNA15;KPNA2;PPP1CA;PLCB3;ADCY3;GNB2;PRKAR2A;GNB5;PPP2CA;CALM1;CAMK4;PPP2R1B;GNAI2;CDK5;PPP2R1A;PLCB2;GNAI3;AHCYL1;GNG5;PRKAR1B	R-HSA-111885	Opioid Signalling
R-HSA-196299 :: Beta-catenin phosphorylation cascade	0.431558935361217	0.507997418377226	0.0843144320642653	0.335198898471406	0.997766775708407	17	CSNK1A1;PPP2CA;PPP2R1B;PPP2R1A;PPP2R5B;FRAT2	R-HSA-196299	Beta-catenin phosphorylation cascade
R-HSA-156590 :: Glutathione conjugation	0.431372549019608	0.507997418377226	0.0919686140000427	-0.286962616930543	-1.01807556889449	33	HPGDS;GSTM3;GSTO2;GSTM2;GSTM5;GSTA3;MGST3	R-HSA-156590	Glutathione conjugation
R-HSA-8957275 :: Post-translational protein phosphorylation	0.432258064516129	0.508351419652148	0.0911073131586733	-0.231692075281641	-1.00859954943323	76	APOE;WFS1;GAS6;GPC3;TGOLN2;SDC2;IGFBP5;CHRDL1;FN1;LAMB2;MBTPS1;CP;BMP4;CDH2;LAMC1;APP;FSTL1;FSTL3;VCAN;NOTUM;MGAT4A;FBN1	R-HSA-8957275	Post-translational protein phosphorylation
R-HSA-2514859 :: Inactivation, recovery and regulation of the phototransduction cascade	0.435606060606061	0.511561516486709	0.0835990603684159	0.316119266484959	0.999892514033777	21	PRKCQ;METAP1;CNGB1;GNB5;CALM1;METAP2	R-HSA-2514859	Inactivation, recovery and regulation of the phototransduction cascade
