gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENPP7P10	5.90650369041572	-0.620417271168783	0.2138581861854	-2.95383927534217	0.00313847413809069	0.00494575867763089
CTGF	341.492164743938	-0.362814643107032	0.153009909889354	-2.95357863797556	0.00314112567757861	0.00494956723371275
OSTF1	1399.07411656582	0.0942037643866822	0.031931930017372	2.9532247513037	0.00314472913805995	0.00495487507945369
CTD-2293H3.1	6.52620706565558	-0.748891810888968	0.268380245045498	-2.95293745255163	0.00314765733630061	0.00495911825983618
TFF3	18.2230229777671	-0.588657303068137	0.199689578036185	-2.95281134362849	0.00314894344487457	0.00496077389552629
CTB-50L17.8	14.9343960144498	-0.378263849842033	0.141381943600803	-2.9527246788615	0.00314982756406771	0.00496179604624336
ZNF692	150.80052226151	0.287503494869309	0.0979412581669616	2.9524197700576	0.0031529399201908	0.00496632783365579
C12orf54	9.62418988114481	0.704874159212998	0.245430481070622	2.9522530132268	0.00315464327584531	0.00496863966475394
TMBIM1	3666.51161047102	-0.172199676760818	0.0584924883192806	-2.95222995757208	0.00315487884631332	0.00496863966475394
DDX10P1	6.1270622328157	-0.666719884538917	0.228300484719016	-2.95168832816409	0.00316041754383952	0.00497699090168679
RP11-529K1.2	8.99706755958006	-0.554775839796689	0.187036863749033	-2.95099652658606	0.00316750479045031	0.00498777934744744
AC020571.3	5.99110608981674	0.621735827791233	0.216687376939445	2.95057365743752	0.00317184405625705	0.00499423933833709
PRRX1	588.965811312052	-0.421230641520539	0.142296564518493	-2.95034741004702	0.00317416791494592	0.00499752523446167
SIN3B	368.297088962106	0.162644666706967	0.0554003483655544	2.94999065640948	0.00317783539751611	0.00500292593227471
ALPK2	11.6557608834934	-0.552251649041684	0.223662669484058	-2.94880406351689	0.00319006155936527	0.0050217989074272
FBXO36	168.396008381624	-0.248318622581371	0.0864107801883602	-2.94863122126036	0.00319184602705236	0.00502423296398299
KIRREL	441.035591171668	0.214152535626909	0.072704002551376	2.94856031375928	0.00319257835736131	0.00502501062845464
AC006077.3	9.14095814634123	0.604898400301807	0.199067694384146	2.94821871193011	0.00319610855600243	0.00502981621111785
HERC3	1184.26535081097	-0.166451829469925	0.0567770568418352	-2.94822178474335	0.00319607678493274	0.00502981621111785
MT-CO3	27454.3214153075	-0.108297453345132	0.0367829426999816	-2.94747018987786	0.00320385641106437	0.00504163301220247
FAM214B	326.239762617842	0.214775824832861	0.0718597039255219	2.94733320109738	0.00320527621573214	0.00504349088474552
KRT73	73.8754573526206	-0.552685618796711	0.25508046502065	-2.94685992611195	0.00321018583416036	0.00505083928006967
HMGB1	5639.31180071301	0.119043952514481	0.0406159352823396	2.94508104141776	0.00322870082065259	0.005079591383611
SYNGR3	6.08827156486688	0.593804282375766	0.208995964887869	2.94387869661867	0.00324127011883467	0.00509898577142749
MRC1	23.6186248338012	-0.483862331555248	0.169623208681619	-2.94363537624862	0.00324381920490661	0.00510261520163141
MFSD6L	6.86704043702907	-0.742230467899253	0.236939316906865	-2.9430734751534	0.00324971280456123	0.00511085960084226
ST7-OT4	28.7628989700459	-0.385021058407714	0.127556951656218	-2.9430663704802	0.00324978738560764	0.00511085960084226
PRPF39	711.871448340007	-0.163363242074058	0.0545956152115276	-2.94310682896852	0.00324936269495451	0.00511085960084226
GRAMD1B	24.6954688459281	0.412124549677488	0.142039839302723	2.94184060548051	0.00326267817788976	0.00513074999368674
RP11-519G16.5	7.42100294595175	0.738023279580184	0.245867113559201	2.94180589598744	0.00326304387855066	0.00513094245849499
NUDCD1	382.281476517648	0.181532860103733	0.0608031946980557	2.94134666930889	0.00326788582666395	0.00513817300273557
LINC01547	27.4957967351244	0.482852013842715	0.160652506849848	2.94089348584637	0.0032726704729247	0.00514531237851607
PDE1C	10.1223276949178	-0.629667238513599	0.203473036604853	-2.93930506040944	0.00328949127091516	0.00517100995933733
RPS6KA2	584.286437558912	0.182247837239636	0.0616139388809251	2.93930369028285	0.00328950581394681	0.00517100995933733
FER1L5	14.1656651305555	-0.45594801308514	0.167701960708792	-2.93850193523195	0.00329802599097767	0.00518401700191838
GPR160	34.2584623848707	0.337399528381691	0.115140918427061	2.93812725737857	0.00330201454576928	0.0051898995856885
FAM21A	294.749829123558	0.139763703519936	0.0513376612733967	2.93793786325634	0.00330403237267414	0.00519268405686036
